position	players	withId
C	Cal Raleigh	Cal Raleigh (663728)
1B	Bryce Harper	Bryce Harper (547180)
2B	Brice Turang	Brice Turang (668930)
3B	Nolan Arenado	Nolan Arenado (571448)
SS	Dansby Swanson	Dansby Swanson (621020)
MI	Joey Loperfido	Joey Loperfido (694388)
CI	Josh Naylor	Josh Naylor (647304)
OF	Jazz Chisholm Jr.	Jazz Chisholm Jr. (665862)
OF	Josh Lowe	Josh Lowe (666139)
OF	Kyle Schwarber	Kyle Schwarber (656941)
OF	Randy Arozarena	Randy Arozarena (668227)
DH	Lane Thomas	Lane Thomas (657041)
DH	Rhys Hoskins	Rhys Hoskins (656555)
DH	Starling Marte	Starling Marte (516782)
DH	Sal Frelick	Sal Frelick (686217)
BAT BENCH	Patrick Bailey	Patrick Bailey (672275)
BAT BENCH	Junior Caminero	Junior Caminero (691406)
SP	Cristopher Sánchez	Cristopher Sánchez (650911)
SP	Kutter Crawford	Kutter Crawford (676710)
SP	Shota Imanaga	Shota Imanaga (684007)
SP	Tanner Bibee	Tanner Bibee (676440)
SP	Tarik Skubal	Tarik Skubal (669373)
SP	Zack Wheeler	Zack Wheeler (554430)
RP	Blake Treinen	Blake Treinen (595014)
RP	Kirby Yates	Kirby Yates (489446)
OP	Gerrit Cole	Gerrit Cole (543037)
OP	Héctor Neris	Héctor Neris (593576)
OP	Shane Baz	Shane Baz (669358)
OP	Zack Littell	Zack Littell (641793)
OP	Merrill Kelly	Merrill Kelly (518876)
PITCH BENCH	Casey Mize	Casey Mize (663554)
PITCH BENCH	Ryne Stanek	Ryne Stanek (592773)
PITCH BENCH	Nick Gonzales	Nick Gonzales (693304)
PITCH BENCH	Christian Scott	Christian Scott (681035)
